gFam;geneID
gfam_13941;CGGC5_5747
gfam_13948;Cob_05287
gfam_13948;CGGC5_5990
gfam_13979;Cob_02443
gfam_13982;CGGC5_6447
gfam_14006;CGGC5_6804
gfam_14023;Cob_08749
gfam_14023;CGGC5_7008
gfam_14030;Cob_02338
gfam_14047;Cob_01867
gfam_14047;CGGC5_7578
gfam_14070;CGGC5_7816
gfam_14100;Cob_05391
gfam_14103;Cob_07570
gfam_14109;Cob_06621
gfam_14109;CGGC5_8511
gfam_14113;Cob_02420
gfam_14113;CGGC5_8552
gfam_14117;CH063_13262T0
gfam_14117;CGGC5_8594
gfam_14119;Cob_01799
gfam_14128;Cob_02082
gfam_14128;CGGC5_8919
gfam_14157;Cob_00261
gfam_14157;CGGC5_9371
gfam_14177;CH063_10983T0
gfam_14177;CGGC5_9769
gfam_14183;Cob_05890
gfam_14183;CGGC5_987
gfam_14202;CS_00516
gfam_14202;Cob_12042
gfam_1421;CT04_01555
gfam_1421;CBS127_00543
gfam_1421;CBS130_04694
gfam_1421;CBS168_12316
gfam_1421;CBS495_03365
gfam_1421;CS_05747
gfam_1421;GLRG_01009T0
gfam_1421;CH063_13040T0
gfam_1421;Cob_07599
gfam_1421;CGGC5_8486
gfam_14224;CH063_04126T0
gfam_14224;Cob_00207
gfam_14233;CH063_07564T0
gfam_14233;Cob_03109
gfam_14237;CS_02433
gfam_14237;Cob_03807
gfam_14242;CH063_06030T0
gfam_14247;Cob_05158
gfam_14260;Cob_06400
gfam_14264;CH063_08412T0
gfam_14264;Cob_06769
gfam_14273;CH063_02153T0
gfam_14273;Cob_07844
gfam_14274;CH063_02054T0
gfam_14274;Cob_07889
gfam_14280;CH063_10904T0
gfam_14296;CH063_01768T0
gfam_14337;CS_00020
gfam_14337;CH063_10171T0
gfam_14339;CH063_12060T0
gfam_14353;CH063_14451T0
gfam_14354;CS_04607
gfam_14354;CH063_12262T0
gfam_14364;CH063_09519T0
gfam_14393;CS_09331
gfam_14393;CH063_15777T0
gfam_14422;CBS495_13128
gfam_14422;CH063_00570T0
gfam_14448;CBS130_10709
gfam_14448;CBS495_12694
gfam_14484;CT04_07807
gfam_14493;CT04_09804
gfam_14493;CBS127_12191
gfam_14531;CBS127_00878
gfam_14531;CBS130_01800
gfam_14539;CBS127_07263
gfam_14539;CBS130_07006
gfam_2555;CH063_13932T0
gfam_2607;CH063_06149T0
gfam_355;CT04_03186
gfam_3711;CT04_07148
gfam_6313;CT04_02249
gfam_6313;CBS127_06580
gfam_6313;CBS130_02479
gfam_6313;CBS168_02249
gfam_6313;CBS495_05225
gfam_6313;CS_02210
gfam_6313;CS_12419
gfam_6313;GLRG_09545T0
gfam_6313;CH063_03752T0
gfam_6313;Cob_02290
gfam_6313;CGGC5_6231
gfam_6516;CS_13469
gfam_654;CS_11609
gfam_654;CGGC5_6481
gfam_6578;CH063_01715T0
gfam_6608;CT04_09771
gfam_6608;CBS127_00569
gfam_6608;CBS130_01202
gfam_6608;CBS168_05987
gfam_6608;CBS495_03391
gfam_6609;CT04_09789
gfam_6609;CBS127_00570
gfam_6609;CBS130_01203
gfam_6609;CBS168_05986
gfam_6609;CBS495_03392
gfam_6609;CS_05773
gfam_6609;GLRG_01037T0
gfam_6609;Cob_01322
gfam_6609;CGGC5_10322
gfam_6618;Cob_00414
gfam_6652;CGGC5_13880
gfam_6712;CGGC5_12460
gfam_6764;CGGC5_5733
gfam_6778;CT04_12851
gfam_6778;CBS127_02407
gfam_6778;CBS130_12918
gfam_6778;CBS168_13087
gfam_6778;CBS495_12580
gfam_6778;CS_05161
gfam_6778;CH063_07762T0
gfam_6823;CS_06637
gfam_6823;CGGC5_14054
gfam_685;GLRG_04995T0
gfam_6854;GLRG_11781T0
gfam_6854;CH063_09680T0
gfam_6854;Cob_01458
gfam_6854;CGGC5_698
